"id"	"primary_name"	"location"	"last_status_check_time"	"total.dois"	"current.dois"	"backfile.dois"	"prefixes"	"coverge.references.backfile"	"coverge.references.current"	"combinedPercEst"
3886	"Consortia Academia Publishing"	"#52 Apartment 2, 6th Floor Qing Shan Road, Section 1 #52 Apt. 2, 6th Floor Xin Zhuang City 24260 Taiwan"	"2018-03-26"	803	177	626	10.5861	0.964856207370758	0.954802274703979	0.004415403459315
3349	"The Korean Academy of Conservative Dentistry (KAMJE)"	"302-75 Ichon1-Dong Yongsan-Gu Yongsan-Gu Seoul 140-721 South Korea"	"2018-03-26"	786	59	727	10.5395	0.984869301319122	0.966101706027985	0.004415403426631
5513	"American Concrete Institute"	"38800 Country Club Drive Farmington Hills 48331 United States"	"2018-03-26"	8905	442	8463	10.14359	0.03946591168642	0.990950226783752	0.004409691551679
3757	"Editorial Committee of Annals of Thoracic and Cardiovascular Surgery"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	781	99	682	10.5761	0.986803531646729	1	0.004409691538784
10606	"Korea Institute of Sport Science"	"201 Gajeaong-ro, Yuseong-gu Daejeon 305-754 South Korea"	"2018-03-26"	862	173	689	10.24985	0.914368629455566	0.81502890586853	0.004403979376523
7292	"The Association of North-East Asian Cultures"	"201 Gajeaong-ro, Yuseong-gu Daejeon 305-754 South Korea"	"2018-03-26"	1121	161	960	10.17949	0.685416638851166	0.689440965652466	0.004392555204528
336	"Japanese Society of Microbial Ecology"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	1084	74	1010	10.1264	0.703960418701172	0.756756782531738	0.004381131453347
5216	"Synatom Research, LLC"	"28 Bouvant Drive Princeton NJ 8540 United States"	"2018-03-26"	1125	197	928	10.1307	0.632543087005615	0.913705587387085	0.004381131228641
8657	"Korea International Accounting Association"	"201 Gajeaong-ro, Yuseong-gu Daejeon 305-754 South Korea"	"2018-03-26"	857	132	725	10.21073	0.888275861740112	0.924242436885834	0.004375419284277
908	"Japan Poultry Science Association"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	2523	78	2445	10.2141	0.293660521507263	0.602564096450806	0.00436970709546
6683	"The Japanese Language and Literature Association of Korea"	"201 Gajeaong-ro, Yuseong-gu Daejeon 305-754 South Korea"	"2018-03-26"	1281	0	1281	10.17003	0.595628440380096	0	0.004358283352791
2054	"The Society of Naval Architects of Korea"	"Dongsin Tower, 4th Floor 5, Mullae-dong 6-ga, Mullae-dong 6-ga Mullae-dong 6-ga Seoul 150-096 South Korea"	"2018-03-26"	1111	121	990	10.3744	0.719191908836365	0.413223147392273	0.004352571079879
3039	"Korean Society of Sport Biomechanics"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	931	80	851	10.5103	0.833137512207031	0.637499988079071	0.004341147187746
3630	"Architectural Institute of Korea"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	1300	309	991	10.5659	0.592330992221832	0.559870541095734	0.004341147122377
4476	"Korean Society of Soil Science and Fertilizer"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	799	125	674	10.7745	0.989614248275757	0.744000017642975	0.004341147094118
229	"American Museum of Natural History (BioOne sponsored)"	"Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States"	"2018-03-26"	870	64	806	10.1206	0.861042201519012	1	0.00432972307363
996	"Japan Prosthodontic Society"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	4745	77	4668	10.2186	0.149742931127548	0.727272748947144	0.004312586908245
632	"Crop Science Society of Japan"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	6164	63	6101	10.1626	0.117521718144417	0.60317462682724	0.004312586906628
4468	"Korean Society of Precision Engineering"	"Dongsin Tower, 4th Floor 5, Mullae-dong 6-ga, Mullae-dong 6-ga Mullae-dong 6-ga Seoul 150-096 South Korea"	"2018-03-26"	951	280	671	10.7736	0.973174393177032	0.35357141494751	0.004295450857596
2265	"Chinese Journal of Mechanical Engineering"	"22 Baiwanzhuang Dajie Beijing 100037 China"	"2018-03-26"	11661	778	10883	10.3901	0.058991085737944	0.136246785521507	0.004272602550739
3273	"The Korean Society of Environmental Agriculture"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	809	71	738	10.5338	0.924119234085083	0.859154939651489	0.004244042431235
2941	"Japanese Leprosy Association"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	1762	1	1761	10.5025	0.421351492404938	1	0.00424404233216
4918	"Korean Society of Civil Engineers"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	845	147	698	10.12652	0.932664752006531	0.61904764175415	0.004238330422864
4768	"The Korean Society of Food and Nutrition"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	795	153	642	10.9799	0.989096581935883	0.692810475826263	0.004232618433899
3343	"The Korean Society of Agricultural Engineers"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	897	80	817	10.5389	0.856793165206909	0.5	0.004226906441529
3030	"Japan Society of Kansei Engineering"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	1264	133	1131	10.5057	0.5526083111763	0.864661633968353	0.004226906334624
5351	"Ediciones Universidad de Salamanca"	"Plaza de San Benito, 2 NIF ESQ3718001E Plaza de San Benito, 2 Salamanca 27002 Spain"	"2018-03-26"	1146	685	461	10.14201	0.605206072330475	0.671532869338989	0.004221194399452
5199	"The Korea Institute of Electronic Communication Sciences"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	804	133	671	10.13067	0.900149047374725	1	0.004209770305084
4002	"Japan Society for Head and Neck Cancer"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	2949	57	2892	10.5981	0.252074688673019	0.122807018458843	0.004204058206106
1740	"Japanese Society for Pediatric Nephrology"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	793	30	763	10.3165	0.923984289169312	0.966666638851166	0.004192634204046
3583	"Korean Institute of Information Scientists and Engineers"	"245 Daehangno Yusong Yusong Daejeon 305-806 South Korea"	"2018-03-26"	973	325	648	10.5626	0.87654322385788	0.504615366458893	0.004181210083462
1230	"Herpetologists League"	"Suite 800 21 DuPont Circle 21 DuPont Circle Washington DC 20036 United States"	"2018-03-26"	902	119	783	10.1655	0.80842912197113	0.789915978908539	0.004152649910186
4427	"Japan Society of Medical Entomology and Zoology"	"New Road Oxford Oxford OX2 1BG United Kingdom"	"2018-03-26"	6932	22	6910	10.7601	0.103183791041374	0.545454561710358	0.0041412257959
